                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                 1.2778,                0.85944,                 1.8444,                0.81287,                 0.7477,                0.84066,                0.46384,                 1.4613,                0.83709,                 2.1373,              0.0012212,              0.0012212,              0.0012212
                    121,                 1.2832,                0.85532,                 1.8521,                0.82021,                0.73297,                0.84191,                0.46429,                  1.486,                0.83279,                 2.1341,              0.0012146,              0.0012146,              0.0012146
                    122,                 1.2851,                0.85686,                 1.8459,                0.79512,                0.75044,                 0.8406,                0.46433,                 1.4661,                0.83272,                  2.119,               0.001208,               0.001208,               0.001208
                    123,                 1.2742,                0.84559,                 1.8242,                0.79112,                0.76857,                  0.844,                0.46797,                 1.4558,                0.81796,                 2.1129,              0.0012014,              0.0012014,              0.0012014
                    124,                 1.2665,                0.84118,                 1.8402,                0.82125,                0.74524,                0.84036,                 0.4631,                 1.4713,                0.83154,                 2.1387,              0.0011948,              0.0011948,              0.0011948
                    125,                 1.2731,                0.84828,                  1.852,                0.78799,                0.77164,                0.84658,                0.46535,                  1.472,                0.82893,                 2.1139,              0.0011882,              0.0011882,              0.0011882
                    126,                  1.274,                0.84833,                 1.8493,                0.80222,                0.75875,                0.84167,                  0.463,                 1.4769,                0.82983,                 2.1326,              0.0011816,              0.0011816,              0.0011816
                    127,                 1.2685,                0.84501,                 1.8489,                 0.8193,                0.74033,                0.84046,                 0.4644,                 1.4606,                0.82542,                 2.1196,               0.001175,               0.001175,               0.001175
                    128,                 1.2816,                 0.8597,                 1.8404,                0.80828,                0.75077,                0.84013,                0.46417,                  1.471,                 0.8251,                 2.1461,              0.0011684,              0.0011684,              0.0011684
                    129,                 1.2771,                0.84673,                 1.8266,                0.81189,                0.73972,                0.84069,                0.46623,                 1.4624,                0.82668,                 2.1413,              0.0011618,              0.0011618,              0.0011618
                    130,                 1.2796,                0.85874,                 1.8545,                0.79018,                0.76755,                0.84546,                0.46127,                 1.4806,                0.83591,                 2.1262,              0.0011552,              0.0011552,              0.0011552
                    131,                 1.2826,                0.84599,                  1.835,                0.81502,                0.72621,                0.83881,                0.46853,                 1.4475,                 0.8339,                 2.0999,              0.0011486,              0.0011486,              0.0011486
                    132,                 1.2856,                0.85505,                 1.8336,                0.80374,                 0.7477,                0.84159,                0.46033,                 1.4757,                0.83625,                 2.1124,               0.001142,               0.001142,               0.001142
                    133,                 1.2831,                0.85234,                 1.8362,                0.77747,                 0.7655,                0.84137,                0.46556,                 1.4639,                0.82487,                 2.0819,              0.0011354,              0.0011354,              0.0011354
                    134,                 1.2745,                0.83803,                 1.8376,                0.80439,                0.75015,                0.84324,                0.46316,                 1.4691,                0.82991,                 2.1136,              0.0011288,              0.0011288,              0.0011288
                    135,                 1.2803,                0.85249,                 1.8254,                0.81439,                0.74524,                0.84285,                0.46272,                 1.4716,                0.83137,                 2.1135,              0.0011222,              0.0011222,              0.0011222
                    136,                 1.2684,                0.84369,                 1.8354,                0.79887,                0.75138,                0.84012,                0.46348,                 1.4648,                0.82777,                 2.1115,              0.0011156,              0.0011156,              0.0011156
                    137,                 1.2708,                0.84922,                 1.8006,                0.79871,                0.76241,                0.83887,                0.46398,                 1.4796,                0.83469,                 2.1307,               0.001109,               0.001109,               0.001109
                    138,                 1.2634,                0.84246,                  1.836,                0.80321,                0.75384,                 0.8427,                0.46217,                 1.4792,                0.82051,                 2.1248,              0.0011024,              0.0011024,              0.0011024
                    139,                 1.2595,                0.85054,                 1.8257,                 0.7988,                0.75752,                0.84349,                 0.4674,                 1.4678,                0.83208,                 2.1052,              0.0010958,              0.0010958,              0.0010958
